client,industry,project,description,dt_start,channel,product,design,goal,complexity
B3,financeiro,E-book B3 Educacional,Desenvolvimento de e-book para o departamento educacional da B3,2020-04-24T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",2
Repórter Brasil,jornalismo,Escravo nem pensar!,Desenvolvimento de site editorial para reportagem especial da Repórter Brasil,2020-04-24T00:00:00Z,digital,['site-editorial'],"['editorial', 'user-interface']","['informacional', 'jornalistico-editorial']",3
InfoAmazonia,jornalismo,"Mercúrio, uma chaga na floresta",Projeto de site editorial para reportagem investigativa realizada pela InfoAmazonia,2020-01-07T00:00:00Z,digital,['site-editorial'],"['editorial', 'user-interface', 'infografia']",['jornalistico-editorial'],5
Symrise,outros,Guia de inclusão,Desenvolvimento de e-book com as políticas de inclusão social da empresa,2020-09-25T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['impacto-positivo', 'institucional']",4
IDDD,ongs-orgs,Prova sob suspeita,Narrativa visual em vídeo apresentando as questões em torno dos processos judiciais baseados em testemunhos apenas de agentes de segurança,2020-05-11T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",5
Fala,jornalismo,Site WWF,Site editorial para matérias realizadas pela FALA para a WWF,2020-01-12T00:00:00Z,digital,['site-editorial'],"['ilustracao', 'editorial', 'user-interface', 'infografia']","['informacional', 'impacto-positivo', 'jornalistico-editorial']",5
B3,financeiro,E-book DAP,Desenvolvimento de e-book explicando os mecanismos do mercado financeiro,2020-04-12T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional']",3
B3,financeiro,DAP,Narrativa visual em motion graphics para explicar os mecanismos do sistema financeiro,2021-12-01T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",4
B3,financeiro,B3 IPO,E-book para a B3 apresentando o funcionamento do IPO,2021-01-26T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional']",2
Volt Data LAB,jornalismo,Reporter Sem Fronteiras,Desenvolvimento de infográficos para especial editorial sobre o uso das redes sociais por políticos da extrema direita,2021-01-28T00:00:00Z,digital,['infografico'],"['editorial', 'infografia']","['informacional', 'impacto-positivo', 'jornalistico-editorial']",3
IDDD,ongs-orgs,Prova sob suspeita,Site editorial para o projeto Prova sob suspeita,2021-08-04T00:00:00Z,digital,['site-editorial'],"['editorial', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",5
Nicoletti+Lopes,comunicacao,Magentown,Desenvolvimento de infográfico para empresa telefônica alemã,2021-05-13T00:00:00Z,digital,['outras-interfaces'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",5
Volt Data LAB,jornalismo,Dados virais,"Desenvolvimento de infográficos e datavis para especial jornalístico para a Data Privacy ",2021-05-14T00:00:00Z,digital,['infografico'],"['ilustracao', 'editorial', 'datavis', 'infografia']","['informacional', 'impacto-positivo', 'jornalistico-editorial']",5
Nic.br,servicos-e-tecnologia,Data Cetic,Plataforma para exploração de dados e gestão de conhecimentos Data Cetic,2021-06-17T00:00:00Z,digital,['outras-interfaces'],"['ilustracao', 'design-de-servicos', 'user-interface', 'datavis', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",5
IEPS,jornalismo,Plataforma IEPS,Plataforma para publicações e conteúdos científicos do IEPS,2021-06-18T00:00:00Z,digital,['site-editorial'],"['editorial', 'design-de-servicos', 'user-interface']","['informacional', 'institucional', 'jornalistico-editorial']",5
CCR,servicos-e-tecnologia,CCR - Pocket,Cartilha com infográficos para apresentar as estruturas organizacionais da CCR,2021-06-21T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",3
EEAB,ongs-orgs,Infográficos EEAB,Desenvolvimento de infográficos para a EEAB,2021-08-16T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",4
B3,financeiro,E-book Investimentos,Publicação digital explicando os mecanismos do mercado financeiro,2021-01-09T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional']",3
Santander,financeiro,Santander investimentos,Narrativa visual em motion graphics explicando os mecanismos do sistema financeiro,2021-03-09T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",3
Santander,financeiro,E-book investimentos,Publicação digital explicando os mecanismos do sistema financeiro,2021-03-09T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",2
CCR,servicos-e-tecnologia,Sistematização de relatórios,Criação de templates para relatórios semestrais CCR,2021-09-16T00:00:00Z,digital,['relatorios'],"['ilustracao', 'editorial', 'datavis', 'infografia']",['informacional'],4
Endeavor,financeiro,Compliance,Narrativa visual em motion graphics explicando as estruturas do compliance da Endeavor,2021-12-13T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional', 'institucional']",4
Internet Lab,ongs-orgs,Infográfico Internet Lab,Infográfico para a Internet Lab,2021-12-27T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']",['informacional'],2
Laudes Foundation,ongs-orgs,Relatório Anual,Desenvolvimento de relatório anual para a Laudes Foundation,2022-01-28T00:00:00Z,digital,['relatorios'],"['ilustracao', 'editorial', 'user-interface', 'datavis', 'infografia']","['informacional', 'impacto-positivo', 'institucional']",5
Stella Comunicação,comunicacao,Infográfico Sodexo,Desenvolvimento de infográfico sobre boas práticas para a Sodexo,2022-10-02T00:00:00Z,impressa,['infografico'],"['ilustracao', 'infografia']","['educacional', 'informacional']",2
Natura&Co,outros,Infográficos COP,"Desenvolvimento de infográficos para a COP ",2022-03-24T00:00:00Z,digital,['infografico'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional', 'impacto-positivo', 'institucional']",4
Beeld,comunicacao,Sistema de infográficos Globo News,Desenvolvimento de sistema de infográficos para a nova identidade visual elaborada pela Beeld para a Globo News,2022-04-04T00:00:00Z,digital,['infografico'],"['ilustracao', 'design-de-servicos', 'datavis', 'infografia']","['informacional', 'jornalistico-editorial']",5
énois,jornalismo,Mapa É nois,Desenvolvimento de infográfico para a É nois,2022-06-24T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['informacional', 'impacto-positivo', 'jornalistico-editorial']",2
CCR,servicos-e-tecnologia,Relatório semestral CCR,Publicação com os resultados semestrais da CCR,2022-08-29T00:00:00Z,digital,['relatorios'],"['ilustracao', 'editorial', 'datavis', 'infografia']","['informacional', 'institucional']",5
AVSI,ongs-orgs,Publicação AVSI,Publicação com a consolidação de pesquisas realizadas pela AVSI,2022-05-10T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'impacto-positivo']",4
Stella Comunicação,comunicacao,Infográfico Mars,Infográfico para comunicação interna da Mars,2022-07-10T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['educacional', 'informacional']",1
Teya,consultorias,Dashboard para gestão de conhecimento,Desenvolvimento de plataforma para gestão e exploração de conhecimento da Teya,2022-04-11T00:00:00Z,digital,['outras-interfaces'],"['design-de-servicos', 'user-interface', 'datavis', 'infografia']",['informacional'],5
Teya,consultorias,Dashboard para gestão de conhecimento,Processo de design com foco no mapeamento estratégico e série do workshops para definir possíveis soluções e estabelecer requisitos para o projeto,2022-04-11T00:00:00Z,consultoria,['outras-interfaces'],['design-de-servicos'],['informacional'],5
CCR,servicos-e-tecnologia,CCR - Resultados,Infográficos apresentando os resultados do Grupo CCR,2022-11-11T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['informacional', 'institucional']",2
B3,financeiro,E-book Investimento,Publicação digital explicando os mecanismos do sistema financeiro,2022-12-20T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional']",4
Consumoteca,pesquisa,TROP,Desenvolvimento de visualização de informação para o método TROP desenvolvido pela Consumoteca para mapear tendências,2023-08-02T00:00:00Z,digital,['infografico'],"['design-de-servicos', 'datavis', 'infografia']","['informacional', 'institucional']",5
Consumoteca,pesquisa,TROP,Desenvolvimento de website para apresentar a explicar a metodologia da Consumoteca,2023-08-02T00:00:00Z,digital,['site-institucional'],"['ilustracao', 'user-interface', 'datavis', 'infografia']","['informacional', 'institucional']",4
Consumoteca,pesquisa,TROP,Desenvolvimento de templates para apresentações das pesquisas utilizadas a partir da metodologia TROP,2023-08-02T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'editorial', 'datavis', 'infografia']","['informacional', 'institucional']",3
TROP,pesquisa,TROP,Elaboração de derivações de peças e recursos para o projeto TROP,2023-08-02T00:00:00Z,digital,['outras-interfaces'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",2
AVSI,ongs-orgs,Relatório AVSI,Desenvolvimento de relatórios para AVSI,2023-02-16T00:00:00Z,impressa,['relatorios'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",4
Ayo Tech,servicos-e-tecnologia,Narrativa visual Ayo Tech,Vídeo em motion graphics explicando a atuação e estrutura do grupo Ayo Tech,2023-03-20T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",4
Reset,jornalismo,Relatório Carbono,Projeto para a realização de relatório sobre o mercado de carbono,2023-05-05T00:00:00Z,digital,['relatorios'],"['ilustracao', 'editorial', 'datavis', 'infografia']","['informacional', 'jornalistico-editorial']",4
Reset,jornalismo,Reset Carbono,Desenvolvimento de modelos de apresentação para o Reset,2023-05-05T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'editorial', 'infografia']",['institucional'],2
Natura&Co,outros,IP&L,Elaboração de workshops e processos iterativos para mapear espaços de solução e de problema em torno do método IP&L,2023-10-23T00:00:00Z,consultoria,['relatorios'],['design-de-servicos'],"['informacional', 'institucional']",5
Natura&Co,outros,IP&L,Desenvolvimento de infográfico no formato de folder para apresentar a metodologia por trás do IP&L,2024-10-23T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'datavis', 'infografia']","['informacional', 'impacto-positivo', 'institucional']",5
Globo Rural,jornalismo,Infográfico combustíveis,Desenvolvimento de infográfico para reportagem especial publicada na revista Globo Rural,2024-10-11T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'jornalistico-editorial']",3
Exato Digital,servicos-e-tecnologia,Narrativa visual Exato,Narrativa visual em motion graphics explicando os serviços realizados pela Exato Digital,2024-11-27T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",4
B3,financeiro,Brasil que investe,"Desenvolvimento de publicação para apresentar os dados da pesquisa, O Brasil que Investe",2024-08-20T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'datavis', 'infografia']","['informacional', 'institucional', 'jornalistico-editorial']",5
B3,financeiro,Brasil que Investe,Desenvolvimento de narrativa visual em motion graphics para apresentar os resultados d3 pesquisa realizada pela B3,2024-08-20T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional', 'institucional']",4
B3,financeiro,Brasil que Investe,"Desenvolvimento de infográfico interativo para apresentar os resultados da pesquisa, O Brasil que investe, realizada pela B3",2024-08-20T00:00:00Z,digital,['infografico'],"['ilustracao', 'user-interface', 'infografia']","['educacional', 'informacional', 'institucional']",5
Funbio,ongs-orgs,Vida Marinha,Design e desenvolvimento de plataforma para gestão do conhecimento e exploração  informação de informações referentes às pesquisas realizadas pelo Funbio,2024-05-02T00:00:00Z,digital,['site-institucional'],"['ilustracao', 'editorial', 'user-interface']","['educacional', 'informacional', 'impacto-positivo']",5
Funbio,ongs-orgs,Vida Marinha,Mapeamento estratégico e série do workshops para definir possíveis soluções e estabelecer requisitos para o projeto,2024-05-02T00:00:00Z,consultoria,['outras-interfaces'],['design-de-servicos'],"['educacional', 'informacional', 'impacto-positivo']",5
Reset,jornalismo,Guia Net Zero,Desenvolvimento de relatório para o Reset,2000-05-17T00:00:00Z,digital,['relatorios'],"['ilustracao', 'editorial', 'datavis', 'infografia']","['informacional', 'impacto-positivo', 'jornalistico-editorial']",4
Oitorama,comunicacao,Storyboard  8,Desenvolvimento de narrativa visual em formato de storyboard,2024-05-17T00:00:00Z,digital,['video'],['ilustracao'],"['informacional', 'institucional']",2
Ajor,jornalismo,Infográficos Ajor,Desenvolvimento de infográficos apresentando os números da associação,2024-07-17T00:00:00Z,impressa,['infografico'],"['ilustracao', 'infografia']","['informacional', 'institucional']",3
Aerolito,servicos-e-tecnologia,3 Ondas,"Plataforma de visualização de dados, gestão de conhecimento e exploração da informação",2000-06-27T00:00:00Z,digital,['outras-interfaces'],"['user-interface', 'datavis', 'infografia']","['informacional', 'institucional']",5
Infinito Mare,servicos-e-tecnologia,"Sistema de comunicação ",Desenvolvimento de peças gráficas para apresentação de informações qualis e quantis nos canais de comunicação da Infinito Mare,2024-08-17T00:00:00Z,digital,['outras-interfaces'],"['ilustracao', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",5
Humana,servicos-e-tecnologia,Governança Territorial,mapeamento estratégico e série do workshops para definir possíveis soluções e estabelecer requisitos para o projeto,2024-09-30T00:00:00Z,digital,['infografico'],"['ilustracao', 'editorial', 'design-de-servicos', 'infografia']","['educacional', 'informacional', 'institucional']",5
Humana,servicos-e-tecnologia,Governança Territorial,Mapeamento estratégico e série do workshops para definir possíveis soluções e estabelecer requisitos para o projeto,2024-09-30T00:00:00Z,consultoria,['infografico'],['design-de-servicos'],"['educacional', 'informacional', 'institucional']",5
Over the Light,comunicacao,"Narrativas visuais ","Desenvolvimento e animação de letterings e gráficos para série de vídeos ",2024-09-17T00:00:00Z,digital,['video'],"['motion-graphics', 'infografia']","['informacional', 'institucional']",3
Agrihub,consultorias,Relatório 2024,Elaboração de relatório apresentando resultados e abordagens utilizadas pela Agrihub,2024-09-17T00:00:00Z,digital,['relatorios'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",3
Openmesh,servicos-e-tecnologia,X node,Desenvolvimento de infográfico em motion graphics explicando o funcionamento da solução X Node da Openmesh,2024-01-07T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",5
Freatz,servicos-e-tecnologia,Sistema de infovis,Processo de design com foco no mapeamento estratégico de oportunidades e requisitos de projeto para a elaboração de sistema de visualizações a partir dos dados da plataforma,2022-11-16T00:00:00Z,consultoria,['outras-interfaces'],['design-de-servicos'],['informacional'],5
CCR,servicos-e-tecnologia,CCR - Resultados,Infográficos apresentando os resultados do Grupo CCR,2022-11-11T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['informacional', 'institucional']",2
CCR,servicos-e-tecnologia,CCR - Resultados,Infográficos apresentando os resultados do Grupo CCR,2022-11-11T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['informacional', 'institucional']",2
CCR,servicos-e-tecnologia,CCR - Resultados,Infográficos apresentando os resultados do Grupo CCR,2022-11-11T00:00:00Z,digital,['infografico'],"['ilustracao', 'infografia']","['informacional', 'institucional']",2
AVSI,ongs-orgs,Publicação AVSI,Publicação com a consolidação de pesquisas realizadas pela AVSI,2022-05-10T00:00:00Z,impressa,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'impacto-positivo']",4
Natura&Co,outros,Infográficos COP,"Desenvolvimento de infográficos para a COP ",2022-03-24T00:00:00Z,digital,['infografico'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional', 'impacto-positivo', 'institucional']",4
Natura&Co,outros,Infográficos COP,"Desenvolvimento de infográficos para a COP ",2022-03-24T00:00:00Z,digital,['infografico'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional', 'impacto-positivo', 'institucional']",4
Natura&Co,outros,Infográficos COP,"Desenvolvimento de infográficos para a COP ",2022-03-24T00:00:00Z,digital,['infografico'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional', 'impacto-positivo', 'institucional']",4
Natura&Co,outros,Infográficos COP,"Desenvolvimento de infográficos para a COP ",2022-03-24T00:00:00Z,digital,['infografico'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional', 'impacto-positivo', 'institucional']",4
Stella Comunicação,comunicacao,Infográfico Sodexo,Desenvolvimento de infográfico sobre boas práticas para a Sodexo,2022-10-02T00:00:00Z,impressa,['infografico'],"['ilustracao', 'infografia']","['educacional', 'informacional']",2
Stella Comunicação,comunicacao,Infográfico Sodexo,Desenvolvimento de infográfico sobre boas práticas para a Sodexo,2022-10-02T00:00:00Z,impressa,['infografico'],"['ilustracao', 'infografia']","['educacional', 'informacional']",2
Stella Comunicação,comunicacao,Infográfico Sodexo,Desenvolvimento de infográfico sobre boas práticas para a Sodexo,2022-10-02T00:00:00Z,impressa,['infografico'],"['ilustracao', 'infografia']","['educacional', 'informacional']",2
B3,financeiro,DAP,Narrativa visual em motion graphics para explicar os mecanismos do sistema financeiro,2021-12-01T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",4
B3,financeiro,DAP,Narrativa visual em motion graphics para explicar os mecanismos do sistema financeiro,2021-12-01T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",4
B3,financeiro,DAP,Narrativa visual em motion graphics para explicar os mecanismos do sistema financeiro,2021-12-01T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",4
B3,financeiro,DAP,Narrativa visual em motion graphics para explicar os mecanismos do sistema financeiro,2021-12-01T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",4
B3,financeiro,E-book DAP,Desenvolvimento de e-book explicando os mecanismos do mercado financeiro,2020-04-12T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional']",3
Santander,financeiro,E-books Santander,Desenvolvimento de e-books para explicar diversos tipos de ativos e investimentos do banco,2020-01-28T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional']",2
Santander,financeiro,E-books Santander,Desenvolvimento de e-books para explicar diversos tipos de ativos e investimentos do banco,2020-01-28T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional']",2
Santander,financeiro,E-books Santander,Desenvolvimento de e-books para explicar diversos tipos de ativos e investimentos do banco,2020-01-28T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional']",2
Santander,financeiro,E-books Santander,Desenvolvimento de e-books para explicar diversos tipos de ativos e investimentos do banco,2020-01-28T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional']",2
Santander,financeiro,E-books Santander,Desenvolvimento de e-books para explicar diversos tipos de ativos e investimentos do banco,2020-01-28T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional']",2
Santander,financeiro,Investimentos Santander,Desenvolvimento de narrativas visuais em motion graphics para explicar o funcionamento de diversos tipos de investimentos,2020-01-28T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",3
Santander,financeiro,Investimentos Santander,Desenvolvimento de narrativas visuais em motion graphics para explicar o funcionamento de diversos tipos de investimentos,2020-01-28T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",3
Santander,financeiro,Investimentos Santander,Desenvolvimento de narrativas visuais em motion graphics para explicar o funcionamento de diversos tipos de investimentos,2020-01-28T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",3
Santander,financeiro,Investimentos Santander,Desenvolvimento de narrativas visuais em motion graphics para explicar o funcionamento de diversos tipos de investimentos,2020-01-28T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",3
Santander,financeiro,Investimentos Santander,Desenvolvimento de narrativas visuais em motion graphics para explicar o funcionamento de diversos tipos de investimentos,2020-01-28T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",3
B3,financeiro,E-book Derivativos,Projeto de e-book explicando o que são e como funcionam os Derivativos,2019-08-30T00:00:00Z,digital,['publicacao'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional']",3
PAN Visual,comunicacao,Atento,Série de vídeos explicando os serviços prestados pela Atento,2018-08-15T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",4
PAN Visual,comunicacao,Atento,Série de vídeos explicando os serviços prestados pela Atento,2018-08-15T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",4
PAN Visual,comunicacao,Atento,Série de vídeos explicando os serviços prestados pela Atento,2018-08-15T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",4
PAN Visual,comunicacao,Atento,Série de vídeos explicando os serviços prestados pela Atento,2018-08-15T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",4
Believe Earth,ongs-orgs,Infográficos Believe Earth,Desenvolvimento de série de 6 infográficos para a Believe Earth,2018-06-29T00:00:00Z,digital,['infografico'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",2
Believe Earth,ongs-orgs,Infográficos Believe Earth,Desenvolvimento de série de 6 infográficos para a Believe Earth,2018-06-29T00:00:00Z,digital,['infografico'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",2
Believe Earth,ongs-orgs,Infográficos Believe Earth,Desenvolvimento de série de 6 infográficos para a Believe Earth,2018-06-29T00:00:00Z,digital,['infografico'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",2
Believe Earth,ongs-orgs,Infográficos Believe Earth,Desenvolvimento de série de 6 infográficos para a Believe Earth,2018-06-29T00:00:00Z,digital,['infografico'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",2
Believe Earth,ongs-orgs,Infográficos Believe Earth,Desenvolvimento de série de 6 infográficos para a Believe Earth,2018-06-29T00:00:00Z,digital,['infografico'],"['ilustracao', 'editorial', 'infografia']","['educacional', 'informacional', 'impacto-positivo']",2
B3,financeiro,B3 Mercado Futuro,Série de vídeos informacionais para explicar os diferentes tipos de investimento no mercado futuro,2018-06-20T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",4
B3,financeiro,B3 Mercado Futuro,Série de vídeos informacionais para explicar os diferentes tipos de investimento no mercado futuro,2018-06-20T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",4
B3,financeiro,B3 Mercado Futuro,Série de vídeos informacionais para explicar os diferentes tipos de investimento no mercado futuro,2018-06-20T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",4
B3,financeiro,B3 Mercado Futuro,Série de vídeos informacionais para explicar os diferentes tipos de investimento no mercado futuro,2018-06-20T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",4
ESPM,educacao,Curso de graduação em Tech,Desenvolvimento de vídeo apresentando o curso de graduação em Tech,2017-03-07T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",3
Agroicone,pesquisa,Infográficos Agroícone,Design e infografia para explicar métodos e atuação da Agroicone,2016-10-18T00:00:00Z,digital,['infografico'],"['editorial', 'infografia']",['institucional'],3
Agroicone,pesquisa,Infográficos Agroícone,Design e infografia para explicar métodos e atuação da Agroicone,2016-10-18T00:00:00Z,digital,['infografico'],"['editorial', 'infografia']",['institucional'],3
F451,comunicacao,Material Institucional da F451,"Site, apresentação e vídeo para F451",2016-08-28T00:00:00Z,digital,['video'],"['ilustracao', 'editorial', 'user-interface', 'infografia']",['institucional'],4
F451,comunicacao,Material Institucional da F451,"Site, apresentação e vídeo para F451",2016-08-28T00:00:00Z,digital,['site-institucional'],"['ilustracao', 'editorial', 'user-interface', 'infografia']",['institucional'],4
B3,financeiro,Investimentos B3,Animação para explicar os investimentos mais populares da B3,2016-08-19T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",5
B3,financeiro,Investimentos B3,Animação para explicar os investimentos mais populares da B3,2016-08-19T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",5
B3,financeiro,Investimentos B3,Animação para explicar os investimentos mais populares da B3,2016-08-19T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",5
B3,financeiro,Investimentos B3,Animação para explicar os investimentos mais populares da B3,2016-08-19T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",5
ESPM,educacao,ESPM cursos,Narrativas visuais em motion graphics apresentando os cursos de graduação e pós graduação da ESPM,2015-01-20T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",2
ESPM,educacao,ESPM cursos,Narrativas visuais em motion graphics apresentando os cursos de graduação e pós graduação da ESPM,2015-01-20T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",2
ESPM,educacao,ESPM cursos,Narrativas visuais em motion graphics apresentando os cursos de graduação e pós graduação da ESPM,2015-01-20T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",2
ESPM,educacao,ESPM cursos,Narrativas visuais em motion graphics apresentando os cursos de graduação e pós graduação da ESPM,2015-01-20T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",2
ESPM,educacao,ESPM cursos,Narrativas visuais em motion graphics apresentando os cursos de graduação e pós graduação da ESPM,2015-01-20T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",2
ESPM,educacao,ESPM cursos,Narrativas visuais em motion graphics apresentando os cursos de graduação e pós graduação da ESPM,2015-01-20T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",2
Kompost,comunicacao,UBS Bank,Infográfico para apresentação de resultados do banco UBS,2015-09-03T00:00:00Z,digital,['infografico'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",1
Kompost,comunicacao,UBS Bank,Infográfico para apresentação de resultados do banco UBS,2015-09-03T00:00:00Z,digital,['infografico'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",1
ESPM,educacao,ESPM cursos,Narrativas visuais em motion graphics apresentando os cursos de graduação e pós graduação da ESPM,2015-01-06T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",2
ESPM,educacao,ESPM cursos,Narrativas visuais em motion graphics apresentando os cursos de graduação e pós graduação da ESPM,2015-01-06T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",2
ESPM,educacao,ESPM cursos,Narrativas visuais em motion graphics apresentando os cursos de graduação e pós graduação da ESPM,2015-01-06T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",2
